country_code,SpatialDimType,year,value,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3
30,UNREGION,2019,0.05425,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE114
UNSDG_SUBSAHARANAFRICA,UNSDGREGION,2019,0.13766,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE118
SUR,COUNTRY,2019,1.19598,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,
143,UNREGION,2019,0.12585,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE50-54,ENVCAUSE,ENVCAUSE_ENVCAUSE118
UNSDG_WESTERNASIANORTHERNAFR,UNSDGREGION,2019,0.01136,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE118
15,UNREGION,2019,0.00499,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE068
ARG,COUNTRY,2019,4.73808,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,
UNSDG_CENTRALASIASOUTHERNASIA,UNSDGREGION,2019,0.18707,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE75-79,ENVCAUSE,ENVCAUSE_ENVCAUSE068
UNSDG_LAC,UNSDGREGION,2019,0.00132,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE068
MNG,COUNTRY,2019,1.74265,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,
34,UNREGION,2019,0.10073,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE65-69,ENVCAUSE,ENVCAUSE_ENVCAUSE068
WB_LIMI,WORLDBANKINCOMEGROUP,2019,9.70293,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE80+,ENVCAUSE,ENVCAUSE_ENVCAUSE113
UGA,COUNTRY,2019,1.60515,SEX,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,
UNSDG_OCEANIAexAUSNZL,UNSDGREGION,2019,0.04255,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE35-39,ENVCAUSE,ENVCAUSE_ENVCAUSE118
UNSDG_OCEANIAexAUSNZL,UNSDGREGION,2019,0.51597,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE114
GLOBAL,GLOBAL,2019,0.04833,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE15-19,ENVCAUSE,ENVCAUSE_ENVCAUSE039
EMR,REGION,2019,0.30645,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE039
419,UNREGION,2019,0.01002,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE40-44,ENVCAUSE,ENVCAUSE_ENVCAUSE068
UNSDG_LAC,UNSDGREGION,2019,0.13943,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE35-39,ENVCAUSE,ENVCAUSE_ENVCAUSE113
JOR,COUNTRY,2019,5.01802,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,
UNSDG_OCEANIAexAUSNZL,UNSDGREGION,2019,0.41317,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE55-59,ENVCAUSE,ENVCAUSE_ENVCAUSE114
TTO,COUNTRY,2019,0.69731,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,
NIC,COUNTRY,2019,3.88888,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,
WPR,REGION,2019,0.43074,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE0-4,ENVCAUSE,ENVCAUSE_ENVCAUSE039
SLB,COUNTRY,2019,28.8246,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
CYP,COUNTRY,2019,2.80142,SEX,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,
WB_LIMI,WORLDBANKINCOMEGROUP,2019,0.14238,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE40-44,ENVCAUSE,ENVCAUSE_ENVCAUSE114
419,UNREGION,2019,0.05177,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE40-44,ENVCAUSE,ENVCAUSE_ENVCAUSE039
JPN,COUNTRY,2019,46.85249,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
34,UNREGION,2019,0.78677,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE55-59,ENVCAUSE,ENVCAUSE_ENVCAUSE114
MUS,COUNTRY,2019,2.97627,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,
WB_HI,WORLDBANKINCOMEGROUP,2019,0.06239,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE30-34,ENVCAUSE,ENVCAUSE_ENVCAUSE113
EMR,REGION,2019,0.10165,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE114
150,UNREGION,2019,0.82466,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE45-49,ENVCAUSE,ENVCAUSE_ENVCAUSE113
ZMB,COUNTRY,2019,5.02294,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,
150,UNREGION,2019,0.04182,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE40-44,ENVCAUSE,ENVCAUSE_ENVCAUSE114
30,UNREGION,2019,1.27676,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE55-59,ENVCAUSE,ENVCAUSE_ENVCAUSE113
BEN,COUNTRY,2019,8.16445,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,
UNSDG_EUROPENORTHERNAMR,UNSDGREGION,2019,0.00769,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE113
30,UNREGION,2019,0.28516,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE45-49,ENVCAUSE,ENVCAUSE_ENVCAUSE113
NER,COUNTRY,2019,9.15765,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,
AMR,REGION,2019,0.02063,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE113
WB_LIMI,WORLDBANKINCOMEGROUP,2019,0.73318,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE80+,ENVCAUSE,ENVCAUSE_ENVCAUSE068
21,UNREGION,2019,0.05046,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE50-54,ENVCAUSE,ENVCAUSE_ENVCAUSE114
