country_code,year,pm25,death_rate,continent
COG,2019,29.48397,26.246,Africa
VEN,2019,16.21392,30.17941,South America
TUR,2019,23.25106,42.32768,Asia
FSM,2019,7.78563,32.6839,Oceania
KOR,2019,24.03774,37.64416,Asia
GNQ,2019,25.66867,24.78223,Africa
MOZ,2019,16.44818,28.33186,Africa
TON,2019,7.52079,17.77941,Oceania
CIV,2019,40.41493,39.69685,Africa
GIN,2019,37.57394,43.90996,Africa
CMR,2019,56.36692,44.36704,Africa
LKA,2019,23.87759,44.63716,Asia
PAN,2019,11.77915,19.22687,North America
GHA,2019,46.04334,39.28232,Africa
BEL,2019,11.25612,42.31969,Europe
NZL,2019,8.60929,25.19613,Oceania
IDN,2019,19.3398,44.15828,Asia
PRY,2019,12.30993,19.84606,South America
JPN,2019,10.83519,48.36548,Asia
TJK,2019,53.64558,69.89728,Asia
SYC,2019,16.95663,46.3923,Africa
SLV,2019,22.15224,34.08677,North America
LBR,2019,35.79581,29.27142,Africa
EST,2019,6.35007,34.73996,Europe
SWZ,2019,15.07308,34.63683,Africa
CAN,2019,6.38944,18.45151,North America
GBR,2019,9.51575,33.06536,Europe
VCT,2019,9.41283,32.42615,North America
ZWE,2019,13.07553,23.23284,Africa
SVK,2019,15.89146,57.84306,Europe
BWA,2019,12.8184,30.71322,Africa
GTM,2019,20.74787,26.90872,North America
FRA,2019,10.45709,29.0432,Europe
BDI,2019,27.99587,27.68241,Africa
SAU,2019,57.15638,50.34623,Asia
CRI,2019,14.69544,18.63528,North America
ITA,2019,14.22481,54.06767,Europe
BGD,2019,45.98906,46.42018,Asia
IND,2019,50.17359,64.59501,Asia
UKR,2019,13.50727,136.84397,Europe
NLD,2019,10.7416,33.5342,Europe
STP,2019,33.74991,36.2508,Africa
DJI,2019,19.98484,36.70425,Africa
TKM,2019,26.40925,54.66205,Asia
ARM,2019,34.12674,106.96235,Asia
IRN,2019,31.61622,40.73953,Asia
PHL,2019,22.45141,58.28931,Asia
KWT,2019,64.07714,23.29692,Asia
LTU,2019,10.36907,115.12323,Europe
SDN,2019,21.42613,32.95619,Africa
SLB,2019,7.8289,28.8246,Oceania
SLE,2019,39.4217,47.60311,Africa
ROU,2019,13.30043,107.80303,Europe
SYR,2019,25.14079,49.69883,Asia
BEN,2019,31.51453,38.72954,Africa
ZMB,2019,16.8967,17.86851,Africa
CHN,2019,38.153,81.12952,Asia
BLR,2019,15.48201,133.79792,Europe
TGO,2019,35.65757,39.35098,Africa
AUS,2019,8.93323,21.0805,Oceania
CAF,2019,27.19802,45.09048,Africa
BOL,2019,25.23416,51.38049,South America
LUX,2019,8.89471,25.56077,Europe
GMB,2019,39.10354,32.28751,Africa
LCA,2019,8.97661,26.2478,North America
ZAF,2019,19.74802,33.85939,Africa
HRV,2019,15.28803,87.75269,Europe
KAZ,2019,26.50215,67.24575,Asia
BTN,2019,26.09506,44.50803,Asia
LAO,2019,21.15498,37.46654,Asia
CHL,2019,20.48648,27.26488,South America
ETH,2019,21.80471,22.02984,Africa
VUT,2019,8.42148,29.87438,Oceania
CZE,2019,14.34125,76.6992,Europe
DZA,2019,22.68313,40.17197,Africa
MRT,2019,41.98461,29.28025,Africa
HND,2019,18.93138,30.97051,North America
IRL,2019,8.19503,22.85035,Europe
LSO,2019,17.59755,67.68632,Africa
DNK,2019,9.65653,32.41332,Europe
MLI,2019,38.54882,29.30754,Africa
AUT,2019,11.50796,47.89445,Europe
URY,2019,8.47571,32.19662,South America
BFA,2019,40.74491,34.98733,Africa
JOR,2019,25.87215,19.09404,Asia
MDV,2019,13.00334,15.12367,Asia
ARE,2019,41.7495,19.15941,Asia
NGA,2019,55.64206,41.32897,Africa
BGR,2019,17.29031,155.18288,Europe
MAR,2019,13.44048,52.92563,Africa
FJI,2019,7.36073,27.05267,Oceania
DOM,2019,7.58534,25.42475,North America
MDG,2019,16.02251,25.85768,Africa
FIN,2019,5.46669,21.41613,Europe
NAM,2019,11.81074,21.51682,Africa
MNE,2019,19.29617,111.9523,Europe
BHR,2019,51.81722,24.6772,Asia
USA,2019,7.17987,28.52762,North America
GUY,2019,11.10584,45.90247,South America
OMN,2019,34.88286,36.38776,Asia
GEO,2019,19.06419,130.60129,Asia
ECU,2019,16.54855,21.5869,South America
CPV,2019,31.08072,40.96598,Africa
LBN,2019,24.234,54.17494,Asia
PRK,2019,41.46032,103.06877,Asia
BRN,2019,6.86475,13.80515,Asia
KGZ,2019,37.58464,53.4487,Asia
HTI,2019,9.69133,32.97795,North America
TLS,2019,20.47387,34.03329,
KEN,2019,12.52415,12.07096,Africa
MLT,2019,12.93003,54.7077,Europe
NER,2019,50.15037,39.48634,Africa
AFG,2019,62.48616,54.26153,Asia
NIC,2019,16.00181,26.88474,North America
NOR,2019,6.30111,18.08528,Europe
COL,2019,14.03552,25.98715,South America
ARG,2019,12.04087,40.49436,South America
AZE,2019,24.64286,99.65025,Asia
MYS,2019,21.52164,52.53309,Asia
GNB,2019,34.84998,35.99981,Africa
UZB,2019,40.97948,71.68221,Asia
RUS,2019,8.88468,74.4693,Europe
MWI,2019,18.56954,16.02762,Africa
PRT,2019,7.34244,31.79955,Europe
BHS,2019,5.19903,10.03528,North America
COD,2019,31.57858,34.16277,Africa
CHE,2019,8.96682,28.64384,Europe
ALB,2019,16.27997,105.3802,Europe
HUN,2019,14.24457,99.4909,Europe
MDA,2019,12.36523,83.05065,Europe
BRB,2019,9.78987,41.5177,North America
RWA,2019,35.65776,25.77348,Africa
PER,2019,29.06587,27.21582,South America
SGP,2019,13.33302,34.16549,Asia
KHM,2019,17.80251,34.63464,Asia
GRD,2019,10.08384,37.44532,North America
THA,2019,24.63927,44.63971,Asia
IRQ,2019,39.28878,37.65337,Asia
COM,2019,14.3724,21.45523,Africa
SEN,2019,38.21284,27.75275,Africa
SUR,2019,12.17056,35.28331,South America
DEU,2019,10.73096,44.5504,Europe
SWE,2019,5.95539,22.44802,Europe
ESP,2019,9.3416,29.76334,Europe
TTO,2019,10.26482,25.42183,North America
ISR,2019,19.47101,24.10565,Asia
PNG,2019,8.88558,19.03321,Oceania
BIH,2019,26.19402,114.05706,Europe
NPL,2019,36.43171,50.96925,Asia
SRB,2019,21.73909,96.74086,Europe
QAT,2019,59.03746,15.12658,Asia
MKD,2019,25.16804,100.06006,Europe
BLZ,2019,10.50946,14.04769,North America
SOM,2019,14.27733,31.06109,Africa
MNG,2019,41.30377,72.48803,Asia
TZA,2019,15.36389,13.79759,Africa
VNM,2019,20.8923,54.49501,Asia
MMR,2019,27.16498,51.49329,Asia
MUS,2019,10.48182,37.74677,Africa
AGO,2019,27.16477,24.48973,Africa
CYP,2019,14.51621,28.08765,Asia
GAB,2019,26.28642,25.25391,Africa
LVA,2019,12.02183,110.61884,Europe
SSD,2019,20.18219,22.42857,Africa
BRA,2019,10.94008,26.07167,South America
JAM,2019,14.8314,24.86727,North America
YEM,2019,41.60944,45.74712,Asia
UGA,2019,31.31261,19.03118,Africa
