country_code,SpatialDimType,year,value,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3
AFG,COUNTRY,2010,61.81464,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
HRV,COUNTRY,2019,15.48858,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
LBN,COUNTRY,2013,24.41514,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
URY,COUNTRY,2019,8.23782,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
LBN,COUNTRY,2015,22.72126,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
VNM,COUNTRY,2017,22.4402,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
SEN,COUNTRY,2012,42.8783,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
COG,COUNTRY,2019,29.48397,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
AUT,COUNTRY,2014,11.642,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
VNM,COUNTRY,2014,20.16026,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
MAR,COUNTRY,2014,13.62969,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
HI_AMR,WHOINCOMEREGION,2010,9.13416,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
MLT,COUNTRY,2010,12.35941,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
CRI,COUNTRY,2015,17.74779,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
AZE,COUNTRY,2015,28.17802,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
LBR,COUNTRY,2017,32.63697,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
SOM,COUNTRY,2016,14.38355,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
LVA,COUNTRY,2019,11.54887,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
BLR,COUNTRY,2017,15.99941,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
419,UNREGION,2018,15.55498,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
AFR,REGION,2011,33.67557,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
SVN,COUNTRY,2012,19.4713,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
NPL,COUNTRY,2018,40.05945,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
VEN,COUNTRY,2019,16.21392,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
EST,COUNTRY,2014,7.84577,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
ITA,COUNTRY,2011,17.72256,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
BFA,COUNTRY,2016,43.05181,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
MNG,COUNTRY,2019,37.90245,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
BDI,COUNTRY,2017,28.60047,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
BFA,COUNTRY,2010,50.37311,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
KGZ,COUNTRY,2017,42.99672,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
IDN,COUNTRY,2016,21.71451,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
TCD,COUNTRY,2019,42.96511,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
SYC,COUNTRY,2019,17.43533,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
BLR,COUNTRY,2011,15.85473,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
HTI,COUNTRY,2012,10.33166,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
TGO,COUNTRY,2013,37.907,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
GIN,COUNTRY,2013,42.88547,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
ARM,COUNTRY,2016,44.8356,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
SWE,COUNTRY,2012,7.49035,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
SDN,COUNTRY,2012,22.60951,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
GLOBAL,GLOBAL,2013,39.37527,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
PHL,COUNTRY,2016,27.15334,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
IRL,COUNTRY,2012,10.00751,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
POL,COUNTRY,2019,19.50755,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
ISL,COUNTRY,2014,6.31689,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
